# 982 Renju five-move openings, ascending 1-blackActual-whiteActual.
# GTP coordinates: column I is skipped; black moves first. See README.md.
# Source: renju500k_ratio_0.5_to_2_sorted_by_drawrate.csv; strict 0.5 < B/W < 2.
# B(+8) and W(-8) are independent 500k evaluations; inferred D can be negative.
15 L12 M12 L11 K11 J10 # opening-13347 B=0.117760804 W=0.216281102 D=0.665958094
15 O6 O7 N6 M5 M8 # opening-7433 B=0.181310703 W=0.152504840 D=0.666184457
15 E10 F15 G15 F10 E12 # opening-26996 B=0.210422766 W=0.123307722 D=0.666269512
15 D4 D3 E5 F5 D5 # opening-49147 B=0.187064246 W=0.146664127 D=0.666271627
15 B11 A11 B10 B9 C9 # opening-23089 B=0.117105287 W=0.216467828 D=0.666426885
15 B1 C1 D7 F7 E7 # opening-1408 B=0.214216153 W=0.119111993 D=0.666671854
15 B14 B15 C13 B13 C12 # opening-49268 B=0.158520242 W=0.174711045 D=0.666768712
15 G5 F5 E4 G6 G7 # opening-21130 B=0.161738210 W=0.171353050 D=0.666908740
15 P11 O10 M11 M13 K10 # opening-36741 B=0.173611671 W=0.158557216 D=0.667831113
15 O2 N2 N3 O1 M3 # opening-39862 B=0.183029105 W=0.148769173 D=0.668201722
15 M14 N14 M13 N13 M12 # opening-44584 B=0.145485323 W=0.185980018 D=0.668534659
15 G11 H11 H10 F11 H13 # opening-16387 B=0.141444709 W=0.189699114 D=0.668856177
15 O8 O7 O6 P7 N9 # opening-23217 B=0.124857604 W=0.206208066 D=0.668934330
15 E14 D14 E13 D11 D13 # opening-46876 B=0.154862484 W=0.176077673 D=0.669059843
15 N4 N3 M4 L3 M3 # opening-34833 B=0.179914754 W=0.150683348 D=0.669401898
15 M11 L11 M13 L14 K9 # opening-32253 B=0.218643810 W=0.111434641 D=0.669921549
15 F12 F11 F10 G13 E9 # opening-27584 B=0.164096770 W=0.165720854 D=0.670182376
15 G11 D11 D12 F11 E11 # opening-10412 B=0.189886150 W=0.139724397 D=0.670389453
15 N4 M4 M7 M5 L5 # opening-42510 B=0.153168628 W=0.176121502 D=0.670709870
15 H4 H3 G4 H2 J2 # opening-26386 B=0.215337520 W=0.113093359 D=0.671569121
15 L4 L3 G7 M3 M4 # opening-10285 B=0.169556509 W=0.158832486 D=0.671611005
15 J14 J15 M12 M11 N10 # opening-11473 B=0.121881538 W=0.205637101 D=0.672481361
15 F10 D13 E14 F11 G11 # opening-24038 B=0.181389740 W=0.145820585 D=0.672789675
15 G10 F10 E10 F9 G9 # opening-13345 B=0.159435704 W=0.167522931 D=0.673041366
15 F2 E1 F3 F4 G2 # opening-4453 B=0.192346767 W=0.134475120 D=0.673178113
15 L6 G2 M6 K6 F2 # opening-17486 B=0.136043225 W=0.190749330 D=0.673207444
15 H3 H4 H5 G3 G4 # opening-10522 B=0.140738397 W=0.185897616 D=0.673363987
15 M5 O5 M4 O4 J2 # opening-10369 B=0.189558818 W=0.136419763 D=0.674021418
15 L6 K5 N8 N10 J4 # opening-31073 B=0.170540378 W=0.154780049 D=0.674679573
15 L9 P13 O15 O13 O14 # opening-31963 B=0.190473159 W=0.134835020 D=0.674691821
15 L8 J8 M8 M7 N7 # opening-31270 B=0.127880087 W=0.197195254 D=0.674924658
15 B7 B6 B5 A9 C9 # opening-22937 B=0.160324408 W=0.163211692 D=0.676463900
15 C5 D5 C6 C4 D4 # opening-31477 B=0.117165502 W=0.206239086 D=0.676595413
15 F4 H6 E6 G4 J6 # opening-3182 B=0.207938242 W=0.115181123 D=0.676880635
15 E14 E15 D15 F15 D14 # opening-17400 B=0.130208308 W=0.192678668 D=0.677113023
15 H11 H10 H8 H7 J8 # opening-36662 B=0.113945739 W=0.208649992 D=0.677404268
15 K12 K13 K14 L14 M12 # opening-42237 B=0.182767476 W=0.138546371 D=0.678686153
15 H13 G12 H12 F12 F13 # opening-17996 B=0.118631739 W=0.202644923 D=0.678723339
15 M3 K3 N3 O3 K4 # opening-42785 B=0.138462229 W=0.182673890 D=0.678863881
15 B2 A2 C2 B3 C4 # opening-41332 B=0.176648734 W=0.144233023 D=0.679118243
15 F12 E11 E13 F11 D12 # opening-30787 B=0.192843975 W=0.127176881 D=0.679979144
15 H6 H8 J5 J6 G8 # opening-6708 B=0.165038602 W=0.154739115 D=0.680222283
15 J5 H5 K6 G6 G5 # opening-41065 B=0.181030170 W=0.138743805 D=0.680226025
15 M2 N2 O1 K1 J4 # opening-38012 B=0.156703146 W=0.162992583 D=0.680304271
15 M11 M12 M10 J11 K11 # opening-28020 B=0.118140175 W=0.201462404 D=0.680397421
15 H11 G12 G11 H10 F11 # opening-10566 B=0.198620866 W=0.120642173 D=0.680736962
15 C13 B13 E13 B12 D13 # opening-23863 B=0.124179316 W=0.194940355 D=0.680880329
15 K10 L9 J8 H8 H7 # opening-6267 B=0.175928861 W=0.143115693 D=0.680955445
15 J1 L2 L3 L1 K2 # opening-43686 B=0.185295611 W=0.133490422 D=0.681213967
15 M6 M5 N5 O6 M7 # opening-0711 B=0.134576894 W=0.183328308 D=0.682094798
15 B6 C5 C6 B5 C8 # opening-42224 B=0.192945242 W=0.124469184 D=0.682585574
15 F4 G4 E4 H1 D2 # opening-32645 B=0.191606329 W=0.124854152 D=0.683539519
15 B9 A9 F11 F9 C9 # opening-36478 B=0.132467925 W=0.183760997 D=0.683771078
15 F12 G12 H12 K14 L12 # opening-7284 B=0.196245798 W=0.119975923 D=0.683778279
15 E3 E4 F3 A3 B2 # opening-39465 B=0.110570744 W=0.205479146 D=0.683950111
15 B7 A7 D7 B8 A6 # opening-3297 B=0.115950228 W=0.199962222 D=0.684087550
15 H7 J7 J6 H5 G7 # opening-7864 B=0.182832907 W=0.133008320 D=0.684158773
15 M5 L5 L6 N5 M3 # opening-44884 B=0.152763342 W=0.162841317 D=0.684395341
15 L6 K6 P4 P5 K4 # opening-45035 B=0.129456947 W=0.185967478 D=0.684575575
15 K2 H2 L3 L4 H5 # opening-49649 B=0.209109251 W=0.106225409 D=0.684665340
15 G12 F13 F14 G13 F11 # opening-7585 B=0.139146433 W=0.176121895 D=0.684731672
15 K3 J3 K4 L4 H4 # opening-31739 B=0.164731123 W=0.150360675 D=0.684908202
15 L12 K11 J12 H9 G9 # opening-22684 B=0.157279253 W=0.156787420 D=0.685933327
15 J12 N14 K12 J13 N15 # opening-42752 B=0.125097890 W=0.188699194 D=0.686202917
15 C6 C5 D6 E8 E4 # opening-25214 B=0.104671737 W=0.209000765 D=0.686327498
15 O10 P10 O9 N9 N10 # opening-11434 B=0.190963998 W=0.122314851 D=0.686721151
15 N5 M5 N4 O5 L6 # opening-10796 B=0.189230335 W=0.123521046 D=0.687248619
15 C12 B12 B11 D11 D10 # opening-6036 B=0.165577868 W=0.147028130 D=0.687394001
15 E12 D12 E13 D13 C11 # opening-26625 B=0.107921174 W=0.203515427 D=0.688563399
15 J7 J6 J8 H8 K6 # opening-13376 B=0.124053433 W=0.186877667 D=0.689068900
15 L14 M14 M12 M15 L15 # opening-19136 B=0.153224471 W=0.157693482 D=0.689082047
15 K5 L7 K7 H10 H9 # opening-44078 B=0.115953657 W=0.194805398 D=0.689240945
15 E15 F15 G12 G13 G11 # opening-3122 B=0.119059525 W=0.191313776 D=0.689626700
15 L11 J10 L12 K11 H10 # opening-33676 B=0.190487001 W=0.119703277 D=0.689809722
15 F7 G6 E6 F6 D4 # opening-46322 B=0.198270649 W=0.111894232 D=0.689835118
15 G4 G2 G3 H2 F3 # opening-21696 B=0.135248461 W=0.174870391 D=0.689881148
15 M2 L2 N5 L1 K2 # opening-9348 B=0.104338110 W=0.205746881 D=0.689915009
15 L10 L11 M10 M11 N10 # opening-7154 B=0.110586241 W=0.199210148 D=0.690203611
